,Product Name,prices,review,memory,Screen,Camera,Battery,Processor
75,"realme Narzo 50i (Carbon Black, 32 GB)","7,499",4.5,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
76,"realme narzo 50i Prime (Mint Green, 32 GB)","7,758",4.3,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
77,"realme Narzo 50i Prime (Dark Blue, 64 GB)","8,768",4.1,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
78,"realme Narzo 50i Prime (Dark Blue, 32 GB)","7,698",4.3,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
79,"realme 9 Pro+ 5G (Midnight Black, 256 GB)","24,999",4.4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
80,"realme 9 Pro+ 5G (Midnight Black, 128 GB)","22,999",4.4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
81,"realme 9 5G (Supersonic Black, 64 GB)","15,999",4.5,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
82,"realme 9 5G (Stargaze White, 128 GB)","17,499",4.4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
83,"realme 9 5G (Stargaze White, 64 GB)","15,999",4.5,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
84,"realme 9 5G (Meteor Black, 64 GB)","15,999",4.5,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
85,"realme 9 5G SE (Starry Glow, 128 GB)","22,999",4.4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
86,"realme Narzo 50i (Mint Green, 64 GB)","8,818",4.3,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
87,"realme Narzo N55 (Prime Black, 128 GB)","14,890",4.2,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
88,"realme 9 5G SE (Azure Glow, 128 GB)","19,999",4.4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
89,"realme Narzo 50 Pro 5G (Hyper Black, 128 GB)","19,925",4.2,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
90,"realme 9 Pro+ 5G (Sunrise Blue, 256 GB)","24,999",4.4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
91,"realme 9 5G SE (Azure Glow, 128 GB)","22,999",4.4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
92,"Realme C30 - Locked with Airtel Prepaid (Lake Blue, 32 GB)","6,049",4.1,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
93,"realme 9 Pro+ 5G (Aurora Green, 256 GB)","24,999",4.4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
94,"realme Narzo 50i Prime (Mint Green, 64 GB)","9,345",4.1,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
95,"realme Narzo 50A Prime (Flash Black, 64 GB)","10,411",4.1,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
96,"realme 9 5G SE (Azure Glow, 128 GB)","22,999",4.4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
97,"realme Narzo 50 Pro 5G (Hyper Blue, 128 GB)","20,880",4.3,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
98,"realme Narzo 50i Prime (Mint Green, 64 GB)","9,345",4.1,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
99,"realme GT 2 (Paper White, 128 GB)","34,999",4.3,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
100,"realme GT 2 (Steel Black, 128 GB)","34,999",4.3,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
101,"realme GT 2 (Paper Green, 128 GB)","34,999",4.3,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
102,"Realme C30 - Locked with Airtel Prepaid (Denim Black, 32 GB)","6,049",4.1,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
